App;RED;Type;Latitud;Longitud;Fecha Hora Inicio;Fecha Hora Fin;Estado;Causa de falla;Tamanio de archivo (MB)
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 15:38:25;2025-06-09 15:38:30;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 15:38:42;2025-06-09 15:38:44;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 15:38:46;2025-06-09 15:38:49;exitoso;;directory
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 15:38:54;2025-06-09 15:38:58;exitoso;;25.58 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:39:40;2025-06-09 15:39:41;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 15:39:57;2025-06-09 15:40:01;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 15:40:15;2025-06-09 15:40:26;fallido;Time Out;0 caracteres
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:40:33;2025-06-09 15:40:35;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 15:40:53;2025-06-09 15:40:59;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 15:41:12;2025-06-09 15:41:14;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 15:41:17;2025-06-09 15:41:21;exitoso;;/sdcard/Download//pexels-clement-couturier-546640561-18908288.jpg:
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 15:41:25;2025-06-09 15:41:29;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 15:41:32;2025-06-09 15:41:36;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:41:43;2025-06-09 15:41:45;exitoso;;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:42:32;2025-06-09 15:42:33;exitoso;;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 15:43:04;2025-06-09 15:43:06;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 15:43:23;2025-06-09 15:43:26;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 15:43:39;2025-06-09 15:43:51;fallido;Time Out;0 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 15:43:53;2025-06-09 15:43:56;exitoso;;0 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 15:44:00;2025-06-09 15:44:04;exitoso;;25.58 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:03:32;2025-06-09 16:03:35;exitoso;;
